證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","13571143","2705315142","199.40","200.00","198.70","199.00","1.5500","16136"
"0051","元大中型100","99272","8193949","83.20","83.20","82.10","82.15","-0.1000","347"
"0052","富邦科技","1278241","252203426","197.20","198.00","197.00","197.15","1.9500","1757"
"0053","元大電子","27608","2957325","107.10","107.70","106.90","107.30","0.9000","140"
"0055","元大MSCI金融","328186","9706879","29.60","29.68","29.50","29.55","0.0800","393"
"0056","元大高股息","20509100","785291154","38.30","38.45","38.10","38.13","-0.0300","13822"
"0057","富邦摩台","14377","2106554","146.80","146.80","146.35","146.50","1.3000","65"
"0061","元大寶滬深","2665619","55029507","20.68","20.93","20.26","20.47","0.1900","928"
"006203","元大MSCI台灣","8651","810059","94.10","94.10","93.40","93.80","0.9500","97"
"006204","永豐臺灣加權","6467","763059","118.10","118.20","117.95","117.95","0.5000","108"
"006205","富邦上証","1893781","66404031","35.16","35.59","34.52","34.86","0.4100","652"
"006206","元大上證50","540238","17877532","33.33","33.62","32.52","32.80","0.1500","318"
"006207","復華滬深","797916","21458560","26.92","27.05","26.36","26.62","0.4200","174"
"006208","富邦台50","11514787","1342936796","116.45","116.90","116.35","116.45","1.0500","14357"
"00625K","富邦上証+R","6000","47340","7.89","7.89","7.89","7.89","0.0000","2"
"00631L","元大台灣50正2","7620038","1942857268","256.10","257.20","252.50","254.15","2.5000","7087"
"00632R","元大台灣50反1","156974160","502018008","3.19","3.22","3.18","3.21","-0.0100","6280"
"00633L","富邦上証正2","27326877","1203679032","44.80","45.80","42.49","43.27","0.6400","5058"
"00634R","富邦上証反1","1878299","7175998","3.84","3.90","3.79","3.88","-0.0400","145"
"00635U","期元大S&P黃金","751297","23304733","31.04","31.08","30.96","30.97","0.4200","555"
"00636","國泰中國A50","6850526","166202022","24.59","24.74","23.84","24.08","0.2500","1581"
"00636K","國泰中國A50+U","200","1494","7.47","7.47","7.47","7.47","0.1100","2"
"00637L","元大滬深300正2","238815316","4233025939","18.13","18.38","17.10","17.42","0.2600","29478"
"00638R","元大滬深300反1","2484351","20009495","8.12","8.19","7.93","8.13","-0.1100","309"
"00639","富邦深100","5817166","75784297","13.16","13.25","12.79","12.95","0.2300","1337"
"00640L","富邦日本正2","1121988","60196720","53.95","54.00","53.30","53.45","-0.1500","283"
"00641R","富邦日本反1","275501","1675628","6.05","6.11","6.05","6.11","0.0300","48"
"00642U","期元大S&P石油","2808730","47446141","16.94","16.95","16.84","16.87","-0.0500","608"
"00643","群益深証中小","18349552","260874171","14.35","14.39","14.04","14.15","0.1400","984"
"00643K","群益深証中小+R","1000","3160","3.16","3.16","3.16","3.16","0.0000","1"
"00645","富邦日本","1855701","70537376","38.12","38.13","37.90","37.94","-0.1800","375"
"00646","元大S&P500","7098197","425841151","60.40","60.40","59.90","59.95","0.0500","2993"
"00647L","元大S&P500正2","171703","17423161","101.60","101.65","101.30","101.45","1.1000","212"
"00648R","元大S&P500反1","5849199","29761096","5.10","5.10","5.08","5.08","-0.0400","157"
"00650L","復華香港正2","38769050","522826643","13.80","13.85","13.03","13.27","0.1700","3874"
"00651R","復華香港反1","1457088","10346294","7.13","7.21","7.03","7.18","-0.0600","226"
"00652","富邦印度","577609","22130541","38.54","38.54","38.15","38.26","-0.3200","428"
"00653L","富邦印度正2","322556","19586199","61.10","61.20","60.20","60.65","-0.4500","266"
"00654R","富邦印度反1","159000","1028400","6.46","6.48","6.45","6.47","0.0100","20"
"00655L","國泰中國A50正2","15203584","457763417","30.60","31.10","28.93","29.51","0.4800","2608"
"00656R","國泰中國A50反1","832373","5953088","7.10","7.28","7.06","7.23","-0.0800","127"
"00657","國泰日經225","62913","2904995","46.27","46.27","46.07","46.07","0.1100","80"
"00657K","國泰日經225+U","200","2892","14.46","14.46","14.46","14.46","0.1200","2"
"00660","元大歐洲50","14183","497031","35.08","35.10","35.05","35.10","0.3900","104"
"00661","元大日經225","285068","14334128","50.50","50.70","50.15","50.25","0.2000","198"
"00662","富邦NASDAQ","2501481","218403356","87.45","87.50","87.20","87.20","0.6500","1331"
"00663L","國泰臺灣加權正2","36229","8466084","234.35","234.35","231.55","231.55","1.7000","26"
"00664R","國泰臺灣加權反1","12600257","45573579","3.60","3.64","3.60","3.63","-0.0100","452"
"00665L","富邦恒生國企正2","105040803","963319098","9.37","9.45","8.83","9.01","0.1600","8220"
"00666R","富邦恒生國企反1","260129","3027164","11.77","11.85","11.51","11.75","-0.1500","65"
"00668","國泰美國道瓊","131265","6704110","51.30","51.30","50.95","51.10","-0.3500","189"
"00668K","國泰美國道瓊+U","200","3176","15.88","15.88","15.88","15.88","0.0000","2"
"00669R","國泰美國道瓊反1","2020069","13011670","6.44","6.45","6.43","6.44","-0.0100","186"
"00670L","富邦NASDAQ正2","1295157","177142893","136.75","137.00","136.65","136.70","3.5000","954"
"00671R","富邦NASDAQ反1","23678000","82798291","3.50","3.51","3.49","3.50","-0.0400","687"
"00673R","期元大S&P原油反1","13968460","101832779","7.27","7.31","7.27","7.30","0.0000","860"
"00674R","期元大S&P黃金反1","1151296","10767469","9.33","9.38","9.33","9.38","-0.1100","144"
"00675L","富邦臺灣加權正2","5563735","567126302","102.35","102.65","100.85","101.60","1.1500","3690"
"00676R","富邦臺灣加權反1","6493578","13071398","2.00","2.02","2.00","2.02","0.0000","280"
"00678","群益那斯達克生技","493575","15196285","30.90","30.90","30.75","30.75","0.0800","97"
"00680L","元大美債20正2","112742407","922727670","8.17","8.24","8.13","8.18","0.1200","5382"
"00681R","元大美債20反1","94020","1932784","20.62","20.63","20.50","20.54","-0.2900","31"
"00682U","期元大美元指數","48010","1018092","21.34","21.34","21.20","21.20","-0.1400","12"
"00683L","期元大美元指正2","307003","7048298","23.13","23.13","22.94","22.97","-0.2400","25"
"00684R","期元大美元指反1","51000","776510","15.23","15.24","15.21","15.24","0.0900","13"
"00685L","群益臺灣加權正2","1156429","105097744","91.55","91.60","90.00","90.70","1.0500","718"
"00686R","群益臺灣加權反1","1095899","2394881","2.19","2.20","2.18","2.20","0.0000","68"
"00688L","國泰20年美債正2","44174644","358942094","8.10","8.18","8.08","8.14","0.1700","2823"
"00689R","國泰20年美債反1","26050","556190","21.41","21.41","21.30","21.34","-0.2700","13"
"00690","兆豐藍籌30","1484883","53450732","36.18","36.18","35.82","35.89","0.1200","663"
"00692","富邦公司治理","2742674","127480067","46.39","46.58","46.33","46.41","0.3700","2044"
"00693U","期街口S&P黃豆","334394","6863257","20.51","20.59","20.48","20.51","0.1900","140"
"00700","富邦恒生國企","919840","14473672","15.95","16.00","15.40","15.53","0.0600","315"
"00701","國泰股利精選30","395876","11590959","29.40","29.40","29.17","29.24","-0.0600","236"
"00702","國泰標普低波高息","9932","254693","25.66","25.66","25.64","25.64","0.0000","96"
"00703","台新MSCI中國","188219","3406927","18.15","18.23","17.87","17.99","0.1500","157"
"00706L","期元大S&P日圓正2","9979983","60769249","6.07","6.12","6.06","6.10","0.1000","724"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","3746106","158537539","42.33","42.50","42.01","42.07","0.9900","672"
"00709","富邦歐洲","15143","444942","29.50","29.50","29.36","29.36","0.1900","107"
"00710B","復華彭博非投等債","157834","3106190","19.70","19.71","19.66","19.67","-0.0600","52"
"00711B","復華彭博新興債","124979","2048256","16.32","16.40","16.32","16.38","0.0600","61"
"00712","復華富時不動產","12448104","119497481","9.58","9.62","9.58","9.59","0.0800","3094"
"00713","元大台灣高息低波","13893377","784844913","56.65","56.80","56.30","56.40","-0.0500","15862"
"00714","群益道瓊美國地產","354194","7665274","21.70","21.70","21.61","21.63","0.1400","117"
"00715L","期街口布蘭特正2","22965069","314405238","13.81","13.81","13.61","13.64","-0.1000","2148"
"00717","富邦美國特別股","48128","789154","16.42","16.42","16.36","16.37","-0.0600","134"
"00728","第一金工業30","210480","7056724","33.63","33.63","33.32","33.32","-0.0300","151"
"00730","富邦臺灣優質高息","668547","14872191","22.32","22.36","22.09","22.14","-0.1500","587"
"00731","復華富時高息低波","1402055","103312089","74.00","74.00","73.30","73.40","-0.1000","1027"
"00733","富邦臺灣中小","1553777","85079334","55.50","55.80","54.20","54.40","-0.9000","2363"
"00735","國泰臺韓科技","204105","6935909","34.02","34.10","33.90","33.90","0.0500","189"
"00736","國泰新興市場","102130","2468446","24.17","24.17","24.15","24.15","0.0800","6"
"00737","國泰AI+Robo","82277","2724602","33.00","33.30","33.00","33.10","0.3800","145"
"00738U","期元大道瓊白銀","936562","26569033","28.44","28.44","28.27","28.33","0.6000","441"
"00739","元大MSCI A股","83929","2026114","24.05","24.45","23.73","23.93","0.2600","107"
"00752","中信中國50","10337719","228286907","22.23","22.42","21.81","21.99","0.2100","2211"
"00753L","中信中國50正2","111698051","1131468512","10.26","10.43","9.81","9.99","0.1800","11516"
"00757","統一FANG+","8308103","801618087","96.35","96.65","96.30","96.40","1.6000","3240"
"00762","元大全球AI","354073","23952542","67.55","67.85","67.50","67.60","1.0000","548"
"00763U","期街口道瓊銅","381038","10194297","26.85","26.87","26.60","26.74","0.5900","114"
"00770","國泰北美科技","928811","46782496","50.05","50.55","50.05","50.40","0.6600","733"
"00771","元大US高息特別股","11560","210091","18.25","18.25","18.09","18.18","-0.0200","112"
"00775B","新光投等債15+","12746","439981","34.52","34.60","34.51","34.60","0.3200","20"
"00783","富邦中証500","419248","9097722","21.79","21.88","21.43","21.58","0.2000","288"
"00830","國泰費城半導體","20601791","992309398","48.20","48.38","48.00","48.00","0.4600","4368"
"00850","元大臺灣ESG永續","1229129","58188058","47.45","47.48","47.16","47.24","0.2200","1243"
"00851","台新全球AI","66811","3286125","49.50","49.50","49.06","49.11","0.3400","117"
"00852L","國泰美國道瓊正2","790809","22637054","29.00","29.00","28.56","28.62","-0.2000","191"
"00861","元大全球未來通訊","300655","12962687","42.80","43.23","42.80","42.93","0.2000","175"
"00865B","國泰US短期公債","202725","9295560","45.87","45.87","45.84","45.84","-0.1900","130"
"00875","國泰網路資安","33160","1181918","35.72","35.72","35.60","35.61","-0.0800","97"
"00876","元大全球5G","42956","1654656","39.03","39.03","38.14","38.39","0.2000","150"
"00878","國泰永續高股息","70119762","1631631131","23.40","23.40","23.17","23.20","0.0100","26167"
"00881","國泰台灣5G+","11313971","286466405","25.44","25.45","25.21","25.27","0.1000","4449"
"00882","中信中國高股息","33440907","453298925","13.70","13.78","13.33","13.43","-0.0400","7836"
"00885","富邦越南","5480978","64316107","11.80","11.80","11.68","11.70","-0.1000","1734"
"00891","中信關鍵半導體","8104402","151857440","18.85","18.86","18.63","18.63","0.0400","3198"
"00892","富邦台灣半導體","2048376","36859358","18.04","18.09","17.90","17.94","0.0300","1158"
"00893","國泰智能電動車","5981315","146532708","24.48","24.59","24.40","24.45","0.4100","1727"
"00894","中信小資高價30","1259733","27606584","22.16","22.16","21.82","21.88","0.2000","524"
"00895","富邦未來車","1860423","58151850","31.34","31.41","31.17","31.18","0.2400","1280"
"00896","中信綠能及電動車","515606","9480582","18.41","18.50","18.31","18.36","0.0500","378"
"00897","富邦基因免疫生技","566913","4853608","8.60","8.60","8.55","8.55","0.0100","189"
"00898","國泰基因免疫革命","183558","1356921","7.43","7.43","7.37","7.39","-0.0700","108"
"00899","FT潔淨能源","505883","7413576","14.79","14.84","14.60","14.61","-0.0700","415"
"00900","富邦特選高股息30","5916750","87096834","14.71","14.78","14.67","14.69","0.0200","2030"
"00901","永豐智能車供應鏈","544684","12041995","22.05","22.20","22.00","22.03","0.0800","295"
"00902","中信電池及儲能","1955649","20727516","10.57","10.73","10.50","10.53","0.0700","596"
"00903","富邦元宇宙","1393523","20835372","14.95","14.98","14.93","14.94","0.2600","413"
"00904","新光臺灣半導體30","483565","8941896","18.53","18.58","18.37","18.41","0.0400","227"
"00905","FT臺灣Smart","6258126","87934585","14.07","14.10","13.99","14.03","0.0600","2191"
"00907","永豐優息存股","3282902","52357243","15.94","16.01","15.88","15.90","0.0100","933"
"00908","富邦入息REITs+","420148","5435761","12.96","12.98","12.91","12.93","0.0600","79"
"00909","國泰數位支付服務","4172714","133721656","32.12","32.18","31.90","32.06","0.6700","1661"
"00910","第一金太空衛星","398307","10141975","25.76","25.76","25.41","25.42","-0.0600","101"
"00911","兆豐洲際半導體","668716","18146087","27.25","27.25","26.95","27.12","0.2500","1246"
"00912","中信臺灣智慧50","1949729","38047049","19.47","19.57","19.42","19.47","0.1300","881"
"00913","兆豐台灣晶圓製造","321349","6757979","21.11","21.15","20.95","21.00","0.1400","364"
"00915","凱基優選高股息30","12187044","323237130","26.54","26.65","26.42","26.48","0.0100","7643"
"00916","國泰全球品牌50","764865","18442105","24.02","24.19","24.02","24.09","0.2200","388"
"00917","中信特選金融","886009","20510258","23.21","23.21","23.12","23.16","-0.2700","268"
"00918","大華優利高填息30","16475504","404389933","24.48","24.62","24.41","24.46","0.0400","4408"
"00919","群益台灣精選高息","45731101","1070514242","23.45","23.51","23.29","23.33","0.0300","21077"
"00920","富邦ESG綠色電力","128480","1752307","13.70","13.70","13.62","13.63","0.0200","107"
"00921","兆豐龍頭等權重","1179210","21548243","18.26","18.35","18.20","18.22","-0.0300","558"
"00922","國泰台灣領袖50","11902461","262993904","22.10","22.16","22.01","22.05","0.1300","3757"
"00923","群益台ESG低碳50","3622897","79804353","22.06","22.11","21.94","21.97","0.0800","1780"
"00924","復華S&P500成長","2405008","58934765","24.48","24.55","24.48","24.50","0.2100","688"
"00925","新光標普電動車","322445","5535518","17.23","17.38","17.10","17.10","0.0000","38"
"00926","凱基全球菁英55","838264","19503294","23.30","23.33","23.22","23.24","0.1200","221"
"00927","群益半導體收益","3537667","65500293","18.58","18.62","18.40","18.45","-0.0200","1817"
"00929","復華台灣科技優息","68515731","1265806426","18.57","18.65","18.36","18.40","-0.1100","26401"
"00930","永豐ESG低碳高息","8080221","153390905","19.03","19.11","18.91","18.93","-0.0400","2445"
"00932","兆豐永續高息等權","13464485","226680709","16.93","16.96","16.72","16.73","-0.1600","3957"
"00934","中信成長高股息","7811062","147074283","18.87","18.93","18.71","18.77","0.0100","2418"
"00935","野村臺灣新科技50","4123352","93317676","22.63","22.73","22.51","22.58","0.1100","1525"
"00936","台新永續高息中小","6842305","109127327","15.97","16.06","15.84","15.88","-0.0600","2128"
"00938","凱基優選30","5313231","79345373","14.92","14.97","14.87","14.90","0.0100","750"
"00939","統一台灣高息動能","7570862","109435862","14.51","14.55","14.37","14.40","-0.0200","1744"
"00940","元大台灣價值高息","57868675","555224805","9.58","9.62","9.53","9.55","0.0000","11053"
"00941","中信上游半導體","4247377","59710062","14.04","14.12","14.03","14.07","0.1700","1077"
"00943","兆豐電子高息等權","15364104","234189400","15.35","15.41","15.14","15.19","-0.1000","3049"
"00944","野村趨勢動能高息","962471","14292754","14.90","14.94","14.76","14.78","-0.0800","516"
"00945B","凱基美國非投等債","14148445","215365040","15.25","15.26","15.20","15.21","-0.0200","1770"
"00946","群益科技高息成長","8739264","81876061","9.39","9.41","9.30","9.32","-0.0100","2732"
"00947","台新臺灣IC設計","1616328","23120628","14.44","14.44","14.17","14.22","-0.0900","645"
"00949","復華日本龍頭","1449592","21663497","14.99","15.02","14.89","14.90","-0.0800","621"
"00951","台新日本半導體","4097964","35571719","8.73","8.74","8.64","8.64","-0.0600","543"
"00952","凱基台灣AI50","7271108","72922875","10.06","10.08","9.94","9.97","-0.0200","879"
"00953B","群益優選非投等債","18275363","185261115","10.15","10.15","10.12","10.14","0.0000","1521"
"00954","中信日本半導體","1564053","14366008","9.21","9.21","9.13","9.14","-0.0500","226"
"00956","中信日經高股息","807465","7821848","9.72","9.72","9.66","9.68","-0.0500","160"
"00960","野村全球航運龍頭","4560113","67723076","14.81","14.90","14.80","14.84","0.1000","1306"
"00961","FT臺灣永續高息","1007975","9884700","9.80","9.85","9.76","9.79","-0.0100","287"
"01001T","土銀富邦R1","94000","1277980","13.60","13.66","13.55","13.66","0.0100","15"
"01002T","土銀國泰R1","380000","6037880","15.86","15.90","15.86","15.90","0.0100","17"
"01004T","土銀富邦R2","1000","11940","11.94","11.94","11.94","11.94","-0.0100","1"
"01007T","兆豐國泰R2","104600","1638486","15.68","15.68","15.65","15.65","-0.3500","17"
"01009T","王道圓滿R1","6000","43100","7.18","7.19","7.18","7.19","-0.0100","5"
"01010T","京城樂富R1","32000","320000","10.00","10.00","10.00","10.00","0.0000","6"
"020000","富邦特選蘋果N","13000","166840","12.83","12.88","12.83","12.88","0.0000","2"
"020011","統一微波高息20N","","","","","","","0.0000",""
"020012","富邦行動通訊N","","","","","","","0.0000",""
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","","","","","","","0.0000",""
"020018","統一價值成長30N","34000","869140","25.56","25.66","25.56","25.66","0.2900","2"
"020019","統一特選台灣5GN","1000","19910","19.91","19.91","19.91","19.91","0.0000","1"
"02001L","富邦蘋果正二N","13000","389820","30.10","30.16","29.69","29.69","0.1700","10"
"02001R","富邦蘋果反一N","","","","","","","0.0000",""
"02001S","策元大加權策略N","758000","5929100","7.83","7.83","7.81","7.81","0.1200","5"
"020020","元大台股領航N","395000","4939710","12.53","12.55","12.46","12.49","0.0500","25"
"020028","元大特選電動車N","24000","234570","9.78","9.80","9.73","9.73","-0.0500","10"
"020029","元大ESG高股息N","62000","572980","9.26","9.27","9.20","9.20","-0.0200","13"
"020030","統一智慧電動車N","2000","12920","6.46","6.46","6.46","6.46","0.0100","1"
"020031","統一IC設計臺灣N","26000","152760","5.88","5.88","5.85","5.85","0.0200","3"
"020032","元大綠能N","288000","1737410","6.02","6.09","6.02","6.03","0.0100","10"
"020034","元大IC設計N","78000","616620","7.95","7.95","7.85","7.87","-0.0200","13"
"020036","元大金融配息N","","","","","","","0.0000",""
"020037","元大金融高股息N","7000","49340","7.05","7.05","7.04","7.04","0.0000","2"
"020038","元大ESG配息N","133000","1062780","8.00","8.01","7.93","7.93","-0.0200","20"
"020039","元大加權N","395000","2849310","7.24","7.25","7.20","7.20","0.0300","21"
"1101","台泥","5782501","185189940","32.00","32.25","31.90","31.90","-0.0500","3109"
"1101B","台泥乙特","58084","2695196","46.45","46.45","46.40","46.40","-0.2500","14"
"1102","亞泥","5948141","282392739","47.70","47.70","47.15","47.55","0.1500","3050"
"1103","嘉泥","403374","7281433","18.15","18.20","17.95","17.95","0.1000","306"
"1104","環泥","927701","27891529","30.45","30.45","29.80","30.00","-0.5500","802"
"1108","幸福","118274","1722848","14.65","14.65","14.50","14.55","-0.0500","86"
"1109","信大","131460","2439630","18.45","18.65","18.45","18.65","0.1000","91"
"1110","東泥","106139","2313791","21.80","22.00","21.65","21.75","-0.1000","97"
"1201","味全","406242","7307499","18.00","18.05","17.90","17.95","-0.0500","236"
